"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Stride Length","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","5:47.3","5:47.3","1.00","5:47","130","149","8","23","162","1.07","72","5:05","189","5:47.3","5:47"
"2","5:05.9","10:53","1.00","5:06","139","148","17","29","163","1.20","71","4:32","166","5:05","5:05"
"3","4:50.2","15:43","1.00","4:50","131","143","--","34","162","1.27","56","4:32","170","4:50","4:50"
"4","5:07.4","20:51","1.00","5:07","139","148","--","8","163","1.19","68","4:50","168","5:07","5:07"
"5","4:58.6","25:49","1.00","4:59","142","147","10","4","163","1.23","68","4:40","166","4:58.6","4:59"
"6","6:57.2","32:46","1.00","6:57","145","156","84","41","160","0.90","95","4:44","168","6:55","6:55"
"7","4:58.1","37:45","1.00","4:58","140","150","22","--","164","1.23","61","4:33","168","4:58.1","4:58"
"8","5:03.8","42:48","1.00","5:04","129","143","--","52","162","1.22","42","4:46","168","5:03","5:03"
"9","5:25.6","48:14","1.00","5:26","146","161","50","--","162","1.14","72","4:38","171","5:25.6","5:26"
"10","5:21.7","53:36","1.00","5:22","143","158","24","14","162","1.15","64","3:58","175","5:02","5:02"
"11","2:03.7","55:39","0.40","5:10","147","153","--","8","165","1.17","28","5:00","168","2:03.7","5:10"
"Summary","55:39","55:39","10.40","5:21","139","161","215","212","162","1.15","697","3:58","189","55:15","5:19"
